매장명,작성일,리뷰내용,감정분석
달빛에구운고등어 어양점,2026-03-01,"고등어구이, 고등어조림, 고추장불고기 모두 괜찮고 반찬도 다양하게 리필해 먹을 수 있어서 좋아요",긍정
달빛에구운고등어 어양점,2026-02-28,2026년 2월 28일 토요일,중립
달빛에구운고등어 어양점,2026-02-25,음식이 맛있어요재료가 신선해요양이 많아요매장이 넓어요단체모임 하기 좋아요,긍정
달빛에구운고등어 어양점,2026-02-25,음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요가성비가 좋아요,긍정
달빛에구운고등어 어양점,2026-02-25,음식이 맛있어요특별한 메뉴가 있어요단체모임 하기 좋아요혼밥하기 좋아요친절해요,긍정
달빛에구운고등어 어양점,2026-02-17,2026년 2월 17일 화요일,중립
달빛에구운고등어 어양점,2025-12-15,2025년 12월 15일 월요일,중립
달빛에구운고등어 어양점,2025-09-13,2025년 9월 13일 토요일,중립
달빛에구운고등어 어양점,2025-09-10,2025년 9월 10일 수요일,중립
달빛에구운고등어 어양점,2025-06-28,2025년 6월 28일 토요일,중립
달빛에구운고등어 어양점,2025-06-11,2025년 6월 11일 수요일,중립
달빛에구운고등어 어양점,2025-06-07,2025년 6월 7일 토요일,중립
달빛에구운고등어 어양점,2025-05-30,2025년 5월 30일 금요일,중립
달빛에구운고등어 어양점,2026-02-03,음식이 맛있어요가성비가 좋아요반찬이 잘 나와요건강한 맛이에요매장이 넓어요,긍정
달빛에구운고등어 어양점,2026-01-25,음식이 맛있어요재료가 신선해요양이 많아요친절해요,긍정
달빛에구운고등어 어양점,2026-01-21,저녁 먹으려고 방문했는데 오늘 날씨가 엄청 추워서 매장은 좀 따뜻할 줄 알았는데 너무 썰렁하고 춥더라구요,중립
달빛에구운고등어 어양점,2026-01-10,언젠가부터 가자미 위 양념장을 올려주시는데 갠적으로 매워서 따로 주시거나 선택 가능했으면 함ㅠ 굽기 정도 좋고 친절하시고 찬 코너도 금방금방 채워주심,긍정
달빛에구운고등어 어양점,2026-01-07,남편이 시킨 꼬막비빔밥은 꼬막이 냉동되었다가 나온 듯 많이 차가워서 밥이랑 같이 비볐는데도 따뜻한 온기가 없어서 많이 아쉬웠어요,중립
달빛에구운고등어 어양점,2026-01-03,"안녕하세요, 하이만선님. 매번 잊지 않고 찾아와주셔서 감사합니다^^. 리뷰들을 보면서 항상 반성하고 더 맛있는 고등어와 음식들을 제공할 수 있도록 노력하겠습니다. 다음에도 찾아와주세요^^.",긍정
달빛에구운고등어 어양점,2026-01-02,음식이 맛있어요특별한 메뉴가 있어요재료가 신선해요매장이 넓어요친절해요,긍정
달빛에구운고등어 도마점,2026-03-14,간만에 먹었는데 고등어조림님무는 맛있는데 고등어조림에들어간 고등어는 데입맛에 살짝비려요,긍정
달빛에구운고등어 도마점,2026-02-28,생선구이 먹고 싶음 오는곳~ 오늘은 딴날보다 더 촉촉한 느낌이 들어 맛있네요 리필반찬도 모두 맛있고 직원분들도 친절합니다~,긍정
달빛에구운고등어 도마점,2026-02-28,2026년 2월 28일 토요일,중립
달빛에구운고등어 도마점,2026-01-31,2026년 1월 31일 토요일,중립
달빛에구운고등어 도마점,2026-01-04,생선구이는... 화덕에서 금방나오지 않은 뜨거운 느낌없이....화덕에서 나오면 지글지글..하지않나요..ㅠㅠ 재방문은... 안할거 같구요.,중립
달빛에구운고등어 도마점,2026-03-01,2026년 3월 1일 일요일,중립
달빛에구운고등어 도마점,2026-02-08,2026년 2월 8일 일요일,중립
달빛에구운고등어 도마점,2026-01-30,2026년 1월 30일 금요일,중립
달빛에구운고등어 도마점,2025-12-12,2025년 12월 12일 금요일,중립
달빛에구운고등어 도마점,2025-11-21,2025년 11월 21일 금요일,중립
달빛에구운고등어 도마점,2025-11-18,2025년 11월 18일 화요일,중립
달빛에구운고등어 도마점,2025-09-10,2025년 9월 10일 수요일,중립
달빛에구운고등어 도마점,2025-09-02,2025년 9월 2일 화요일,중립
달빛에구운고등어 도마점,2025-12-12,음식이 맛있어요양이 많아요매장이 넓어요친절해요주차하기 편해요,긍정
달빛에구운고등어 도마점,2025-12-06,음식이 맛있어요재료가 신선해요양이 많아요인테리어가 멋져요매장이 넓어요,긍정
달빛에구운고등어 도마점,2025-12-02,음식이 맛있어요재료가 신선해요가성비가 좋아요혼밥하기 좋아요친절해요,긍정
달빛에구운고등어 도마점,2025-11-24,음식이 맛있어요재료가 신선해요단체모임 하기 좋아요매장이 넓어요주차하기 편해요,긍정
달빛에구운고등어 도마점,2025-11-20,음식이 맛있어요가성비가 좋아요반찬이 잘 나와요주차하기 편해요매장이 청결해요,긍정
달빛에구운고등어 도마점,2025-11-19,음식이 맛있어요재료가 신선해요양이 많아요매장이 넓어요단체모임 하기 좋아요,긍정
달빛에구운고등어 송천점,2026-03-23,음식이 맛있어요재료가 신선해요양이 많아요가성비가 좋아요매장이 넓어요,긍정
달빛에구운고등어 송천점,2026-03-15,눈부라리며 시키시라고햇죠? 그리고 뭐어쩌라고표정 잊을수가없네요 그리고 저희랑비슷한구성의가족들도 저희랑똑같이막아서고 그가족도 화나서 사장부르는데,중립
달빛에구운고등어 송천점,2026-03-02,그리고 1인 1메뉴라 적어주세요 .메뉴판에 고등어 한마리도 지워버림. 따로 물어보고 시켜야합니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ포장자율과 넓은건 송천점이 좋지만 이젠 도청점 다닐래요. 오늘만 그런지몰라도 최애 반찬맛도 달라져서 남겼어요,긍정
달빛에구운고등어 송천점,2026-02-05,오랜만에 연근 먹으러 왔다가 생선도 맛있게 먹고 감☺️,긍정
달빛에구운고등어 송천점,2026-02-03,맛있는 반찬들이 무제한이고 음식이 깔끔하고 정갈해요 직원분들 모두 친절해서 매우 만족스러운 매장입니다😊👍🔥,긍정
달빛에구운고등어 송천점,2026-02-01,2026년 2월 1일 일요일,중립
달빛에구운고등어 송천점,2026-01-31,반찬도 맛있고 미역국도 맛있지만 무엇보다 메인인 고등어구이가 최고입니다,긍정
달빛에구운고등어 송천점,2026-01-21,그러나 부모님과 같이 있던 식사자리에서 룰을 제대로 지키지 못한 저희에게 식사도중 면전에 두고 과도하게 따지듯 얘기하는 직원의 언행에 상당히 불쾌했고 부모님과 아이앞에서 모멸감 수치심을 느끼게한 식당입니다.,부정
달빛에구운고등어 송천점,2026-01-02,달빛에 구운 고등어 송천점 생선도 신선하고 맛있어요. 샐러드바 이용도 할 수 있어 좋아요,긍정
달빛에구운고등어 송천점,2026-03-13,2026년 3월 13일 금요일,중립
달빛에구운고등어 송천점,2025-11-04,2025년 11월 4일 화요일,중립
달빛에구운고등어 송천점,2025-10-28,2025년 10월 28일 화요일,중립
달빛에구운고등어 송천점,2025-10-25,2025년 10월 25일 토요일,중립
달빛에구운고등어 송천점,2025-10-16,2025년 10월 16일 목요일,중립
달빛에구운고등어 송천점,2025-09-28,2025년 9월 28일 일요일,중립
달빛에구운고등어 송천점,2025-09-24,2025년 9월 24일 수요일,중립
달빛에구운고등어 송천점,2025-08-04,2025년 8월 4일 월요일,중립
달빛에구운고등어 송천점,2025-08-01,2025년 8월 1일 금요일,중립
달빛에구운고등어 송천점,2026-01-01,"고등어3, 고갈비3, 어린이고등어2를 주문했어요. 반찬도 맛있어서 부모님 모시고 왔는데 다들 맛있다고 해서 만족! 조카는 고등어 껍질이 바삭해서 잘 먹더라구요",긍정
달빛에구운고등어 송천점,2025-12-02,음식이 맛있어요양이 많아요특별한 메뉴가 있어요가성비가 좋아요,긍정
달빛에구운고등어 송천점,2025-11-21,음식이 맛있어요양이 많아요매장이 넓어요주차하기 편해요,긍정
달빛에구운고등어 송천점,2025-11-09,고등어 말고 다른 메뉴 먹어보고 싶어서 뚝불 시켰는데 대학생때 학교 앞 분식점에서 먹던 맛이였다! 맛이 없다는건 아닌데 15500원에는 조금 아쉬운 맛! 맛있는 조미료 맛. 담엔 제육 먹어봐야지!,긍정
달빛에구운고등어 송천점,2025-11-09,음식이 맛있어요인테리어가 멋져요매장이 넓어요친절해요매장이 청결해요,긍정
달빛에구운고등어 평화점,2026-03-15,음식이 맛있어요친절해요주차하기 편해요매장이 청결해요화장실이 깨끗해요,긍정
달빛에구운고등어 평화점,2026-03-06,음식이 맛있어요반찬이 잘 나와요단체모임 하기 좋아요혼밥하기 좋아요친절해요,긍정
달빛에구운고등어 평화점,2026-03-06,음식이 맛있어요재료가 신선해요양이 많아요매장이 넓어요단체모임 하기 좋아요,긍정
달빛에구운고등어 평화점,2026-03-06,음식이 맛있어요양이 많아요가성비가 좋아요인테리어가 멋져요단체모임 하기 좋아요,긍정
달빛에구운고등어 평화점,2026-02-19,The seasoned cockles were not as good as I expected.,중립
달빛에구운고등어 평화점,2026-02-13,사장님도 너무 친절하시고 고기도 부드럽고 통통해서 너무 잘 먹었어요^--^♡,긍정
달빛에구운고등어 평화점,2026-01-23,"The only downside is the seasoning of the cockle salad. I think it would be better with an acorn jelly-style sauce, as the current flavor might not suit everyone.",중립
달빛에구운고등어 평화점,2026-02-28,2026년 2월 28일 토요일,중립
달빛에구운고등어 평화점,2026-01-24,2026년 1월 24일 토요일,중립
달빛에구운고등어 평화점,2026-01-20,2026년 1월 20일 화요일,중립
달빛에구운고등어 평화점,2026-01-11,2026년 1월 11일 일요일,중립
달빛에구운고등어 평화점,2025-11-25,2025년 11월 25일 화요일,중립
달빛에구운고등어 평화점,2025-10-19,2025년 10월 19일 일요일,중립
달빛에구운고등어 평화점,2025-08-20,2025년 8월 20일 수요일,중립
달빛에구운고등어 평화점,2025-08-17,2025년 8월 17일 일요일,중립
달빛에구운고등어 평화점,2025-08-13,2025년 8월 13일 수요일,중립
달빛에구운고등어 평화점,2025-08-10,2025년 8월 10일 일요일,중립
달빛에구운고등어 평화점,2026-01-18,음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요가성비가 좋아요,긍정
달빛에구운고등어 평화점,2026-01-15,There isn’t a single side dish that isn’t delicious here—highly recommend!,중립
달빛에구운고등어 평화점,2025-12-22,음식이 맛있어요가성비가 좋아요매장이 넓어요친절해요주차하기 편해요,긍정
달빛에구운고등어 관저점,2026-03-20,음식이 맛있어요재료가 신선해요양이 많아요가성비가 좋아요매장이 넓어요,긍정
달빛에구운고등어 관저점,2026-03-01,고등어조림은 생선이 두 덩어리라 조금 아쉽네요.,중립
달빛에구운고등어 관저점,2026-02-27,음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요가성비가 좋아요,긍정
달빛에구운고등어 관저점,2026-02-25,개인적으로 저탄고지와 육식위주의 식사로 음식섭취에 식용유를 배제하므로 자주는 못 갈 것 같아요✅️,중립
달빛에구운고등어 관저점,2026-02-21,음식이 맛있어요재료가 신선해요양이 많아요가성비가 좋아요,긍정
달빛에구운고등어 관저점,2026-02-04,샐러드 잡채등 다양한 셀프바 좋아요,긍정
달빛에구운고등어 관저점,2026-03-22,2026년 3월 22일 일요일,중립
달빛에구운고등어 관저점,2026-01-17,2026년 1월 17일 토요일,중립
달빛에구운고등어 관저점,2026-01-04,2026년 1월 4일 일요일,중립
달빛에구운고등어 관저점,2026-01-01,2026년 1월 1일 목요일,중립
달빛에구운고등어 관저점,2025-12-13,2025년 12월 13일 토요일,중립
달빛에구운고등어 관저점,2025-10-14,2025년 10월 14일 화요일,중립
달빛에구운고등어 관저점,2025-09-26,2025년 9월 26일 금요일,중립
달빛에구운고등어 관저점,2025-09-23,2025년 9월 23일 화요일,중립
달빛에구운고등어 관저점,2025-09-06,2025년 9월 6일 토요일,중립
달빛에구운고등어 관저점,2025-08-30,2025년 8월 30일 토요일,중립
달빛에구운고등어 관저점,2025-12-19,달빛에 구운 고등어 집에서 생선을 구우면 냄새나서 엄두두 못내는데 여기서 맘껏부담없이 맛있게 먹네요 여러번 갖다먹을수 있는 반찬두 있어서 좋네요 특히 계란말이 잡채 연근반찬두 맛있어요,긍정
달빛에구운고등어 관저점,2025-11-30,2025년 11월 30일 일요일,중립
달빛에구운고등어 전북도청점,2026-03-27,음식이 맛있어요재료가 신선해요양이 많아요가성비가 좋아요건강한 맛이에요,긍정
달빛에구운고등어 전북도청점,2026-03-25,음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요가성비가 좋아요,긍정
달빛에구운고등어 전북도청점,2026-03-24,믿고 먹는 고등어!! 집 밖에서 맛있는 고등어 먹을 수 있어 행복하다😆,긍정
달빛에구운고등어 전북도청점,2026-03-24,평소 여러지점을 방문했었는데 여기도 역시 맛있내요. 너무 맛있어서 허겁지겁먹다보니 사진찍는 걸 깜빡해서 거의 뼈만 남아있내요. 무조건 추천하는 곳입니다 반찬도 맛있고 생선도 맛있고 좋아요!!,긍정
달빛에구운고등어 전북도청점,2026-03-25,2026년 3월 25일 수요일,중립
달빛에구운고등어 전북도청점,2026-03-24,2026년 3월 24일 화요일,중립
달빛에구운고등어 전북도청점,2026-03-12,2026년 3월 12일 목요일,중립
달빛에구운고등어 전북도청점,2026-03-07,2026년 3월 7일 토요일,중립
달빛에구운고등어 전북도청점,2026-03-03,2026년 3월 3일 화요일,중립
달빛에구운고등어 전북도청점,2026-03-02,2026년 3월 2일 월요일,중립
달빛에구운고등어 전북도청점,2026-03-24,음식이 맛있어요재료가 신선해요양이 많아요인테리어가 멋져요매장이 넓어요,긍정
달빛에구운고등어 전북도청점,2026-03-24,역시 믿고 먹는 생선입니다! 하나도 안 비리고 너무 맛있게 먹었네요~ 기본 반찬도 간 적당하고 계란말이 맛있어요 ㅎㅎ,긍정
달빛에구운고등어 전북도청점,2026-03-23,생선구이는 무조건 달빛게구운고등어로 와요! 고등어는 살짝 짭잘하면서 촉촉하고 ㅜㅜ 삼치는 너무 부드러워요..! 기본 반찬도 알차게 나오고 즉석에서 계란말이가 나오는데 같이 먹으면 굿이에요!!!! 주기적으로 생각나는 곳이에요♥️♥️,중립
달빛에구운고등어 전북도청점,2026-03-22,음식이 맛있어요재료가 신선해요양이 많아요가성비가 좋아요건강한 맛이에요,긍정
달빛에구운고등어 전북도청점,2026-03-22,음식이 맛있어요양이 많아요특별한 메뉴가 있어요가성비가 좋아요잡내가 적어요,긍정
달빛에구운고등어 전북도청점,2026-03-22,매번와서먹는데 생선구이집중에서 여기가 젤가성비도 좋고 맛있어요 계란말이 무한으로 먹을수있는것도 엄청난 이점이에요!,긍정
달빛에 구운 고등어 전주아중점,2026-03-26,재료가 신선해요음식이 맛있어요양이 많아요특별한 메뉴가 있어요인테리어가 멋져요,긍정
달빛에 구운 고등어 전주아중점,2026-03-26,생선 구이에 제육같은 다양한 메뉴도 있고 무엇보다 계란말이나 잡채 등이 무한리필 샐러드바에 있어서 너무 좋아요,긍정
달빛에 구운 고등어 전주아중점,2026-03-26,항상 푸짐하고 맛있는 점심식사장소를 찾을때 먼저생각나는 곳입니다. 반찬도 리필이 가능하고 생선도 맛있는 찐맛집입니다.,긍정
달빛에 구운 고등어 전주아중점,2026-03-25,"세명이서 달빛반상, 보름한상 주문하니 정말 푸짐하게 먹었습니다😀 밥먹다보니 창가에 피고있는 동백꽃이 너무 예쁘네요. 곧 만개하듯 피어오를거같은데 만개하면 또올께여🤣👍",중립
달빛에 구운 고등어 전주아중점,2026-03-24,음식이 맛있어요재료가 신선해요매장이 넓어요친절해요매장이 청결해요,긍정
달빛에 구운 고등어 전주아중점,2026-03-24,고등어도 맛있고 갈치도 맛있어요. 셀프바음식도 너무 맛있어서 아이들과 잘 먹었습니다. 다음에 또 올게요,긍정
달빛에 구운 고등어 전주아중점,2026-03-24,2026년 3월 24일 화요일,중립
달빛에 구운 고등어 전주아중점,2026-03-21,2026년 3월 21일 토요일,중립
달빛에 구운 고등어 전주아중점,2026-03-17,2026년 3월 17일 화요일,중립
달빛에 구운 고등어 전주아중점,2026-03-13,2026년 3월 13일 금요일,중립
달빛에 구운 고등어 전주아중점,2026-03-08,2026년 3월 8일 일요일,중립
달빛에 구운 고등어 전주아중점,2026-03-04,2026년 3월 4일 수요일,중립
달빛에 구운 고등어 전주아중점,2026-03-02,2026년 3월 2일 월요일,중립
달빛에 구운 고등어 전주아중점,2026-03-01,2026년 3월 1일 일요일,중립
달빛에 구운 고등어 전주아중점,2026-03-24,가족들과 함께 방문했어요 분위기도 좋고 음식이 정갈하고 맛있었어요 재방문 의사 있습니다 추천해요,긍정
달빛에 구운 고등어 전주아중점,2026-03-23,"항상 만족하고 가는 곳이예요! 여기서 볼락구이 처음 먹어봤는데 너무 괜찮아서 이젠 고정메뉴에요! 아이와 함께 와서 밥먹기도 좋고, 셀프바도 있어서 가성비 최고예요 ! 오늘은 고등어랑 볼락구이 시켰는데 제육볶음도 맛집입니당!",긍정
달빛에 구운 고등어 전주아중점,2026-03-23,음식이 맛있어요재료가 신선해요특별한 메뉴가 있어요가성비가 좋아요양이 많아요,긍정
달빛에 구운 고등어 전주아중점,2026-03-23,오랜만에 고등어 너무 맛있게 먹었네여 ㅎㅎㅎ 감사합니다 !!,긍정
달빛에 구운 고등어 전주아중점,2026-03-22,음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요,긍정
달빛에 구운 고등어 전주아중점,2026-03-22,아이랑 외식하면 여기만오는거같아요~특히 아중점이 제일 맛있는거같아요👍🏻👍🏻꼬막비빔밥 맛있어서 진짜 자주먹었었는데 시즌메뉴라 끝났네요 아쉽ㅠㅜㅜ,긍정
달빛에 구운 고등어 전주아중점,2026-03-22,반찬이 맛있고 넓고 친절해요 먹고싶을때마다 여기로 오네요 이 지점이 최고최고~,긍정
달빛에구운고등어 모현점,2026-03-25,"건장한 성인 남성 세 명이서 3인분을 시켰는데 양이 너무 많아 다 못 먹을 뻔 했습니다. 고추장불고기, 생선, 밑반찬 하나도 빠짐없이 너무 만족했습니다",중립
달빛에구운고등어 모현점,2026-03-23,음식이 맛있어요가성비가 좋아요반찬이 잘 나와요매장이 넓어요대화하기 좋아요,긍정
달빛에구운고등어 모현점,2026-03-23,음식이 맛있어요재료가 신선해요양이 많아요특별한 메뉴가 있어요가성비가 좋아요,긍정
달빛에구운고등어 모현점,2026-03-21,음식이 맛있어요양이 많아요가성비가 좋아요매장이 넓어요매장이 청결해요,긍정
달빛에구운고등어 모현점,2026-03-15,친절하고 깨끗하고 맛있어서 자주와요. 펑소에는 생선을 가운데에 잘 놓아주시거나 적어도 물어보시고 배치하고 가셨는데 오늘은 툭 올려놓고 가네요.. 많이 바쁘실수 있죠 그래도 그전처럼 해주시면 좋겠습니다. 가게 방침이 바뀌신건 아니리라 믿습니다.,긍정
달빛에구운고등어 모현점,2026-03-15,가족 식사하기 너무좋고 생선구이 먹고싶을때마다 올수 있는곳이라서 좋네요^^ 음식도 너무 맛있어서 밥몇공기 먹던 아들과 신랑 ㅋㅋ딸래미도 생선살 발라서 너무 잘먹엇어요♡,긍정
달빛에구운고등어 모현점,2026-03-13,음식이 맛있어요재료가 신선해요양이 많아요인테리어가 멋져요친절해요,긍정
달빛에구운고등어 모현점,2026-03-12,항상 맛있습니다! 매장도 늘 청결하고 직원분들도 친절하셔서 편하게 식사하고 왔습니다~~,긍정
달빛에구운고등어 모현점,2026-01-30,2026년 1월 30일 금요일,중립
달빛에구운고등어 모현점,2025-12-31,2025년 12월 31일 수요일,중립
달빛에구운고등어 모현점,2025-12-08,2025년 12월 8일 월요일,중립
달빛에구운고등어 모현점,2025-12-01,2025년 12월 1일 월요일,중립
달빛에구운고등어 모현점,2025-11-25,2025년 11월 25일 화요일,중립
달빛에구운고등어 모현점,2025-11-10,2025년 11월 10일 월요일,중립
달빛에구운고등어 모현점,2025-10-28,2025년 10월 28일 화요일,중립
달빛에구운고등어 모현점,2025-10-27,2025년 10월 27일 월요일,중립
달빛에구운고등어 모현점,2025-10-15,2025년 10월 15일 수요일,중립
달빛에구운고등어 모현점,2026-03-05,음식이 맛있어요재료가 신선해요양이 많아요가성비가 좋아요반찬이 잘 나와요,긍정
달빛에구운고등어 모현점,2026-02-27,갈치는 처음 시켰는데 크기가 와우 어마어마해요... 깜짝 놀랐어요ㅋㅋㅋ,중립
달빛에구운고등어 모현점,2026-02-26,음식이 맛있어요특별한 메뉴가 있어요매장이 넓어요친절해요매장이 청결해요,긍정
달빛에구운고등어 모현점,2026-02-26,맛없는 메뉴가 없어요! 갈치랑 고등어도 맛있고 꼬막무침도 맛있게 잘 먹었습니다. 음식 있는 곳들을 주기적으로 계속 닦아주셔서 엄청 깨끗해요!!,부정
달빛에구운고등어 모현점,2026-02-13,음식이 맛있어요재료가 신선해요가성비가 좋아요메뉴 구성이 알차요매장이 넓어요,긍정
달빛에구운고등어 모현점,2026-02-13,음식이 맛있어요반찬이 잘 나와요인테리어가 멋져요매장이 넓어요단체모임 하기 좋아요,긍정
달빛에구운고등어 첨단점,2026-03-07,음식이 맛있어요특별한 메뉴가 있어요인테리어가 멋져요매장이 넓어요친절해요,긍정
달빛에구운고등어 첨단점,2026-02-12,"점심세트 메뉴가 있어서 특별한 반찬도 있고 2인, 4인 세트도 있으니 꼭 오셔서 가족과 함께 즐거운 식사하시면 좋겠어요! 주차장도 있답니다!",긍정
달빛에구운고등어 첨단점,2026-02-02,들어오자마자 직원분들이 인사를해주셔셔 기분이좋았어요 가격에비해 양도많고 너무맛있아요 다른지점보다 더 맛있는것같고 셀프바반찬들도 너무맛있어요,긍정
달빛에구운고등어 첨단점,2026-02-01,2026년 2월 1일 일요일,중립
달빛에구운고등어 첨단점,2026-03-18,2026년 3월 18일 수요일,중립
달빛에구운고등어 첨단점,2026-02-22,2026년 2월 22일 일요일,중립
달빛에구운고등어 첨단점,2026-01-08,2026년 1월 8일 목요일,중립
달빛에구운고등어 첨단점,2026-01-03,2026년 1월 3일 토요일,중립
달빛에구운고등어 첨단점,2025-11-29,2025년 11월 29일 토요일,중립
달빛에구운고등어 첨단점,2025-11-19,2025년 11월 19일 수요일,중립
달빛에구운고등어 첨단점,2025-11-12,2025년 11월 12일 수요일,중립
달빛에구운고등어 첨단점,2025-10-28,2025년 10월 28일 화요일,중립
달빛에구운고등어 첨단점,2025-09-20,2025년 9월 20일 토요일,중립
달빛에구운고등어 첨단점,2025-09-18,2025년 9월 18일 목요일,중립
달빛에구운고등어 첨단점,2026-01-29,친구랑 같이 와서 먹어봤는데 생선이 너무 부드럽고 맜있어요! 셀프바 계란 말이가 진짜 대박이에요 꼭 와서 드셔봐야 해여 너무 만족! 반찬도 너무 많고 다음에는 부모님 모시고 오려고요 너무 만족스러워요😊,중립
달빛에구운고등어 첨단점,2026-01-27,고등어가 크고 막 구워나와서 넘~~좋았어요^^특히 셀프바 반찬이 타 매장에 비해 맛있었어요.~~엄마의 손맛이랄까 생선구이는 첨단점이 최고네요~~,긍정
달빛에구운고등어 첨단점,2026-01-06,친절해요매장이 청결해요주차하기 편해요특별한 날 가기 좋아요음식이 빨리 나와요,긍정
달빛에구운고등어 첨단점,2026-01-05,음식이 맛있어요재료가 신선해요양이 많아요,긍정
달빛에구운고등어 첨단점,2026-01-01,키작고 단발머리 통통한 이모님 덕분에 음식도 기분좋게 먹었어요 다음에도 이용하고 싶은 마음!,긍정
달빛에구운고등어 첨단점,2025-12-30,✅양: 셀프바를 고려하면 잘 먹는 2명이 와야 거의 다 먹을 정도로 푸짐,중립
달빛에구운고등어 군산미장점,2026-03-23,음식이 맛있어요재료가 신선해요양이 많아요인테리어가 멋져요친절해요,긍정
달빛에구운고등어 군산미장점,2026-03-22,음식이 맛있어요양이 많아요재료가 신선해요가성비가 좋아요단체모임 하기 좋아요,긍정
달빛에구운고등어 군산미장점,2026-03-22,저번에는 안이랬는데 이번에는정신없네요.계산기도안되고한국인아줌마는짜증난다는식으로한숨쉬시고젓가락수저도없고여튼정신없는데 외국인직원분이더차분하니. 여든정사없었어요,중립
달빛에구운고등어 군산미장점,2026-03-22,음식이 맛있어요양이 많아요가성비가 좋아요단체모임 하기 좋아요뷰가 좋아요,긍정
달빛에구운고등어 군산미장점,2026-03-22,음식이 맛있어요가성비가 좋아요매장이 넓어요매장이 청결해요주차하기 편해요,긍정
달빛에구운고등어 군산미장점,2026-03-22,음식이 맛있어요재료가 신선해요인테리어가 멋져요매장이 넓어요단체모임 하기 좋아요,긍정
달빛에구운고등어 군산미장점,2026-03-21,"고등어 1등 맛집, 꼬막무침도 새로 나와서 먹어봤는데 넘 맛있네요!!",긍정
달빛에구운고등어 군산미장점,2026-03-24,2026년 3월 24일 화요일,중립
달빛에구운고등어 군산미장점,2026-03-22,2026년 3월 22일 일요일,중립
달빛에구운고등어 군산미장점,2026-03-15,2026년 3월 15일 일요일,중립
